epoch,accuracy,loss,top_3_accuracy,val_accuracy,val_loss,val_top_3_accuracy
1,0.8110761046409607,0.6131722927093506,0.9584153294563292,0.8563265204429626,0.4670813679695129,0.9742857217788696
2,0.8352136015892029,0.5158724784851074,0.9679697155952454,0.8641836643218994,0.4361764192581177,0.9772449135780334
3,0.8501683473587036,0.4653311967849731,0.974113404750824,0.870102047920227,0.4118363261222839,0.9820408225059508
4,0.8590231537818909,0.421892762184143,0.9772617816925048,0.8760204315185547,0.404531866312027,0.9836734533309937
5,0.8631991147994995,0.4138514101505279,0.979448139667511,0.8890816569328308,0.3619959354400635,0.984387755393982
6,0.8665004968643188,0.4165090024471283,0.979163944721222,0.8915306329727173,0.3583974540233612,0.9851020574569702
7,0.8710481524467468,0.3784490823745727,0.9821155071258544,0.8907142877578735,0.373885303735733,0.9831632375717164
8,0.8749398589134216,0.3706675767898559,0.9819406270980836,0.8858163356781006,0.3779449462890625,0.9856122732162476
9,0.8742402195930481,0.3646139204502105,0.9838864803314208,0.8951020240783691,0.3461162745952606,0.9854081869125366
10,0.8787223100662231,0.3508972227573395,0.98320871591568,0.8994898200035095,0.3466359972953796,0.9867346882820128
11,0.8793344497680664,0.3582460880279541,0.9845861196517944,0.8939796090126038,0.3722137212753296,0.985510230064392
12,0.8793781995773315,0.3412792086601257,0.9835147857666016,0.8992857336997986,0.3410076797008514,0.98612242937088
13,0.8855218887329102,0.3398218154907226,0.9847391843795776,0.89316326379776,0.359425812959671,0.9856122732162476
14,0.8843631148338318,0.3254017531871795,0.985001504421234,0.897857129573822,0.3340241909027099,0.9871428608894348
15,0.8856312036514282,0.3260876536369324,0.9864882826805116,0.9014285802841188,0.3150158524513244,0.9873469471931458
16,0.8881455063819885,0.315730333328247,0.9853076338768004,0.8951020240783691,0.3431342542171478,0.9868367314338684
17,0.8894573450088501,0.3107759058475494,0.9867943525314332,0.9022449254989624,0.3139122426509857,0.9891836643218994
18,0.8889544606208801,0.3117236793041229,0.9869474172592164,0.8987755179405212,0.3327151536941528,0.9864285588264464
19,0.8877956867218018,0.3078411519527435,0.9868162274360656,0.9009183645248412,0.3252398073673248,0.989081621170044
